182241678.237915 16.686790 -3.237897  90.048080 416
182314872.741699 16.643229 -4.182466  88.957924 417
182394027.709961 3.667077 3.403744  13.757759 418
182579040.527344 21.032753 6.274598  31.991344 419
182931184.768677 16.468861 -7.535773  84.621063 420
182978868.484497 16.657995 -5.243365  103.022095 421
183055162.429810 3.571299 2.438647  9.687501 422
183104753.494263 16.444138 -6.474751  97.444962 423
183278322.219849 16.482794 -8.588870  119.798416 424
183334112.167358 16.476917 -9.445391  137.284836 425
183503627.777100 21.205109 5.272874  35.102432 426
183838605.880737 8.156167 9.840488  7.551433 427
183937311.172485 3.673346 1.551834  15.099635 428
184022665.023804 17.368763 4.023966  466.169495 429
184319496.154785 21.129215 4.162610  73.287201 430
184440374.374390 3.697527 0.608294  14.328936 431
184991121.292114 21.330179 2.956310  66.615585 433
185047864.913940 3.742165 -0.596425  13.681309 434
185071229.934692 8.233371 8.669283  14.008900 435
185436487.197876 21.310734 1.926462  69.288986 436
185556650.161743 3.776999 -1.793671  33.177032 437
185781717.300415 21.427547 1.031381  44.807930 438
186008453.369141 8.438921 7.635491  11.990090 439
186142444.610596 3.728287 -2.794243  42.351784 441
186300516.128540 3.918319 -3.808045  19.774117 442
186467647.552490 3.871786 -4.751743  13.869386 443
186536073.684692 21.206314 -0.075919  74.661026 444
186851263.046265 8.505462 6.717504  17.468985 445
186900615.692139 3.601717 -6.004295  19.443697 446
187138319.015503 21.197762 -1.108792  72.059082 448
187227249.145508 3.537673 -7.119509  27.981731 449
187357902.526855 3.479855 -8.174762  46.079128 450
187377691.268921 21.240164 -2.133912  112.923264 451
187684297.561646 3.672648 -9.438644  37.266922 452
187708616.256714 21.336605 -3.194248  110.249382 453
187755584.716797 3.817421 -10.473699  38.899300 454
187871694.564819 21.307768 -4.340477  121.424973 456
187906742.095947 8.128558 5.691123  12.665033 457
188346385.955811 21.094334 -4.594613  149.065186 458
188492298.126221 21.019613 -6.366278  138.003510 459
188694000.244141 20.809444 -9.573537  180.592087 460
188758850.097656 20.899170 -8.420658  200.687225 461
188871860.504150 8.249368 4.605247  17.879744 462
189469575.881958 8.231700 3.517202  11.213574 463
190166473.388672 8.467793 2.515380  20.030771 464
190569162.368774 12.823601 9.630197  12.918997 466
191087722.778320 8.313007 1.538315  21.690865 468
191731929.779053 8.568849 0.336977  27.372154 470
192564249.038696 8.488814 -0.637333  18.711758 472
192755222.320557 12.890092 7.848560  12.217463 473
192856550.216675 8.115681 -1.721836  19.840397 475
193317413.330078 8.553061 -2.526763  27.033398 478
193675518.035889 12.981830 6.849250  17.392839 480
193987369.537354 8.405567 -4.923878  38.524834 483
194276094.436646 8.529078 -6.071344  52.518120 485
194646358.489990 8.404495 -7.989768  45.315758 486
194719791.412354 8.439712 -7.159094  49.734436 487
194761991.500854 12.888046 5.884225  24.588533 488
194888114.929199 8.387024 -9.020522  44.653130 489
194983243.942261 8.244106 -10.192988  43.727966 490
195652008.056641 12.990620 4.448595  20.859310 491
196251153.945923 13.148128 3.451220  41.585762 492
196814298.629761 17.442268 9.756418  10.037930 493
197169065.475464 13.106734 2.563035  47.012882 494
197592020.034790 17.635548 8.611525  15.092494 495
198095321.655273 12.993741 1.440632  17.766588 496
198466300.964355 13.201728 0.523942  32.728092 497
198672533.035278 17.811275 7.724001  15.120813 498
199215173.721313 13.226460 -0.728022  58.955902 499
199760913.848877 13.361483 -1.705174  60.953655 500
199829816.818237 17.711058 6.641237  33.641037 501
200155735.015869 13.333694 -2.848915  64.019295 502
200453281.402588 13.209570 -4.027543  40.758499 503
200760364.532471 13.126359 -5.058763  28.813419 504
200779914.855957 17.778864 5.784006  38.471630 505
201185464.859009 13.188287 -5.911314  60.730522 506
201441526.412964 13.040499 -7.939774  83.455917 507
201627969.741821 13.131673 -6.908751  84.092361 508
201771497.726440 13.007973 -9.023960  116.883278 509
202435016.632080 21.752007 9.298912  75.420486 511
202759742.736816 17.755552 3.659279  21.233398 512
203296184.539795 21.861195 8.468177  47.645088 513
203524589.538574 17.805096 2.690236  44.008682 514
203957080.841064 17.792112 1.348754  57.686943 515
204467058.181763 17.865610 0.430044  55.027863 516
204674482.345581 21.942011 7.661854  31.740669 517
205219030.380249 18.064728 -0.482076  92.051651 518
206091165.542603 17.785110 -1.714907  70.012947 520
206277608.871460 17.737917 -2.833905  49.120636 521
206655025.482178 17.670670 -3.576653  61.463543 522
206749916.076660 17.740940 -4.746156  93.710709 523
207509040.832520 17.896187 -5.804324  124.169739 526
207545995.712280 17.571318 -8.158529  64.387856 527
207768440.246582 17.599808 -7.028960  140.888443 528
207960844.039917 17.646111 -10.067644  129.063721 531

