#Bolo Name   Readout Address   SQUID Address   DIO column     Rel X Rel Y  
  P6(B2)    ed:ra7   ed:sa3  183   -96.00000   -41.56922
  P6(B1)    ed:ra8   ed:sa3  184   -60.00000   0.00000
  P6(C8)    ed:rb1   ed:sa4  185   -66.00000   -10.39231
  P6(C7)    ed:rb2   ed:sa4  186   -72.00000   -20.78461
  P6(C6)    ed:rb3   ed:sa4  187   -78.00000   -31.17692
  P6(C5)    ed:rb4   ed:sa4  188   -84.00000   -41.56922
  P6(C4)    ed:rb5   ed:sa4  189   -90.00000   -51.96152
  P6(C3)    ed:rb6   ed:sa4  190   -48.00000   0.00000
  P6(C2)    ed:rb7   ed:sa4  191   -54.00000   -10.39231
  P6(C1)    ed:rb8   ed:sa4  192   -60.00000   -20.78461
  P6(D8)    ee:ra1   ed:sa5  193   -66.00000   -31.17692
  P6(D7)    ee:ra2   ed:sa5  194   -72.00000   -41.56922
  P6(D6)    ee:ra3   ed:sa5  195   -78.00000   -51.96152
  P6(D5)    ee:ra4   ed:sa5  196   -84.00000   -62.35383
  P6(D4)    ee:ra5   ed:sa5  197   -36.00000   0.00000
  P6(D3)    ee:ra6   ed:sa5  198   -42.00000   -10.39231
  P6(D2)    ee:ra7   ed:sa5  199   -48.00000   -20.78461
  P6(D1)    ee:ra8   ed:sa5  200   -54.00000   -31.17692
  P6(E8)    ee:rb1   ed:sa6  201   -60.00000   -41.56922
  P6(E7)    ee:rb2   ed:sa6  202   -66.00000   -51.96152
  P6(E6)    ee:rb3   ed:sa6  203   -72.00000   -62.35383
  P6(E5)    ee:rb4   ed:sa6  204   -78.00000   -72.74613
  P6(E4)    ee:rb5   ed:sa6  205   -24.00000   0.00000
  P6(E3)    ee:rb6   ed:sa6  206   -30.00000   -10.39231
  P6(E2)    ee:rb7   ed:sa6  207   -36.00000   -20.78461
  P6(E1)    ee:rb8   ed:sa6  208   -42.00000   -31.17692
  P6(F8)    ef:ra1   ed:sa7  209   -48.00000   -41.56922
  P6(F7)    ef:ra2   ed:sa7  210   -54.00000   -51.96152
  P6(F6)    ef:ra3   ed:sa7  211   -60.00000   -62.35383
  P6(F5)    ef:ra4   ed:sa7  212   -66.00000   -72.74613
  P6(F4)    ef:ra5   ed:sa7  213   -72.00000   -83.13844
  P6(F3)    ef:ra6   ed:sa7  214   -12.00000   0.00000
  P6(F2)    ef:ra7   ed:sa7  215   -18.00000   -10.39231
  P6(F1)    ef:ra8   ed:sa7  216   -24.00000   -20.78461
  P6(G8)    ef:rb1   ed:sa8  217   -30.00000   -31.17692
  P6(G7)    ef:rb2   ed:sa8  218   -36.00000   -41.56922
  P6(G6)    ef:rb3   ed:sa8  219   -42.00000   -51.96152
  P6(G5)    ef:rb4   ed:sa8  220   -48.00000   -62.35383
  P6(G4)    ef:rb5   ed:sa8  221   -54.00000   -72.74613
  P6(G3)    ef:rb6   ed:sa8  222   -60.00000   -83.13844
  P6(G2)    ef:rb7   ed:sa8  223   -66.00000   -93.53074
 N29(C8)    f0:ra1   f0:sa4  225   -42.00000   51.96152
 N29(C7)    f0:ra2   f0:sa4  226   -54.00000   51.96152
 N29(C6)    f0:ra3   f0:sa4  227   -66.00000   51.96152
 N29(C5)    f0:ra4   f0:sa4  228   -78.00000   51.96152
 N29(C4)    f0:ra5   f0:sa4  229   -90.00000   51.96152
 N29(C3)    f0:ra6   f0:sa4  230   -24.00000   41.56922
 N29(C2)    f0:ra7   f0:sa4  231   -36.00000   41.56922
 N29(C1)    f0:ra8   f0:sa4  232   -48.00000   41.56922
 N29(D8)    f0:rb1   f0:sa5  233   -60.00000   41.56922
 N29(D7)    f0:rb2   f0:sa5  234   -72.00000   41.56922
