# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
# Thu Nov  1 14:02:51 UTC 2012 - Made sure second grnd wasn't connected - SFM
# Thu Nov  1 14:08:24 UTC 2012 - Cut second disconnected grnd cable - SFM
# Thu Nov  1 14:13:21 UTC 2012 - Cleaned window (fairly wet and icy) SFM
#2012-11-01.15	1830-211	test	14.53	1.0	0.576	0.0154 100	37.2	0.8	-2.00	156 28	18.6 -21	-20.3	-82.5 -123.7	-60.0 -199.9	0.413 0.032	0.294 0.027	17.6 1.4
#2012-11-01.22	Mars	test	16.20	0.8	0.002	0.0545 57	38.2	0.3	-2.00	-156 25	17.1 -24	20.7	37.4 -12.0	66.2 -98.1	18.6 0.34	31.3 0.31	22.6 0.4
2012-11-01.24	Mars	test	16.39	1.0	0.001	0.0463 98	36.5	0.3	-2.00	-154 24	17.1 -24	23.0	-21.7 7.6	7.1 -79.3	22.0 0.14	44.1 0.39	25.9 0.1
2012-11-01.25	Mars	test	16.45	0.8	0.001	0.0852 101	38.2	0.1	-2.00	-153 24	17.1 -24	23.7	8.5 7.8	15.4 -71.3	16.4 0.15	39.7 0.21	26.8 0.2
2012-11-01.26	Mars	test	16.52	1.0	0.326	0.0432 95	36.4	0.2	-2.00	-152 23	17.1 -24	24.5	-3.7 -15.7	12.2 -88.1	42.1 0.16	68.3 0.77	22.9 0.1
2012-11-01.27	Mars	test	16.54	0.8	0.326	0.0558 88	38.2	0.2	-2.60	-151 23	17.1 -24	24.7	-10.9 -12.4	5.0 -84.9	39.1 0.13	67.6 0.21	23.8 0.1
2012-11-01.28	Mars	test	16.56	0.8	0.326	0.3183 47	38.3	0.2	-3.20	-151 23	17.1 -24	25.0	-8.3 -12.6	7.6 -85.2	17.5 0.48	45.7 1.3	33.3 0.7
2012-11-01.29	Mars	test	16.58	1.0	0.326	0.0581 84	37.0	0.1	-1.40	-151 23	17.1 -24	25.2	1.7 -14.2	17.6 -86.8	35.9 0.047	50.7 0.076	21.7 0.0
