# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
# Fri Apr  4 11:55:49 UTC 2014 - scan 48 Fz=-1.26 Fx=-1.00 Fy=0.00
2014-04-04.48	3C84	test	11.93	2.1	0.480	0.0173 98	25.2	-6.1	-1.00 0.00 -1.26	69 58	3.3 42	-84.0	1.1 6.0	-13.2 -72.2	9.38 0.016	11.7 0.018	19.8 0.0	0.7 -13.3
# Fri Apr  4 11:59:29 UTC 2014 - scan 49 Fz=-1.26 Fx=+1.00 Fy=0.00
2014-04-04.49	3C84	test	11.99	2.1	0.468	0.0171 102	25.4	-6.0	1.00 0.00 -1.26	69 58	3.3 42	-84.5	1.0 3.3	-13.8 -74.4	9.63 0.013	11.7 0.017	19.9 0.0	-12.0 -2.4
# Fri Apr  4 12:03:24 UTC 2014 - scan 50 Fz=-1.26 Fx=-4.00 Fy=0.00
2014-04-04.50	3C84	test	12.05	2.1	0.433	0.0173 100	25.4	-5.9	-4.00 0.00 -1.26	69 59	3.3 42	-85.0	0.5 9.3	-14.6 -67.8	7.01 0.017	10.9 0.032	22.2 0.0	6.9 -17.5
# Fri Apr  4 12:05:52 UTC 2014 - Thin clouds at the line of sight
# Fri Apr  4 12:07:34 UTC 2014 - scan 51 Fz=-1.26 Fx=+4.00 Fy=0.00
2014-04-04.51	3C84	test	12.12	2.1	0.467	0.0152 98	25.3	-5.7	4.00 0.00 -1.26	69 60	3.3 42	-85.6	1.0 0.1	-14.5 -76.4	7.33 0.015	11.8 0.018	22.5 0.0	2.2 21.0
# Fri Apr  4 12:14:15 UTC 2014 - scan 52 Fz=-1.26 Fx=-0.18 Fy=0.00
2014-04-04.52	3C84	test	12.22	2.1	0.409	0.0148 102	25.4	-5.4	-0.18 0.00 -1.26	69 61	3.3 42	-86.5	0.3 5.9	-15.9 -69.6	9.46 0.013	11.3 0.014	19.6 0.0	-0.9 -4.5
# Fri Apr  4 12:17:00 UTC 2014 - scan 52 Fz=-1.26 Fx=-0.18 Fy=-2.00
#2014-04-04.53	3C84	test	12.29	2.1	0.446	0.0153 98	25.3	-5.2	-0.18 -2.00 -1.26	69 62	3.3 42	-87.1	5.9 6.3	-10.7 -68.6	8.49 0.014	11.4 0.017	20.7 0.0	-24.8 -5.2
# Fri Apr  4 12:20:50 UTC 2014 - scan 54 Fz=-1.26 Fx=-0.18 Fy=+2
2014-04-04.54	3C84	test	12.34	2.1	0.446	0.0163 98	25.4	-5.1	-0.18 2.00 -1.26	70 62	3.3 42	-87.6	-1.4 5.3	-18.3 -69.0	9.24 0.014	11.2 0.014	19.7 0.0	8.7 -22.4
# Fri Apr  4 12:24:35 UTC 2014 - scan 55 Fz=-1.26 Fx=-0.18 Fy=-4
#2014-04-04.55	3C84	test	12.41	2.1	0.508	0.0164 97	25.4	-5.1	-0.18 -4.00 -1.26	70 63	3.3 42	-88.2	8.4 6.5	-8.9 -67.2	6.92 0.013	11.9 0.023	23.5 0.0	-18.4 -19.8
# Fri Apr  4 12:27:55 UTC 2014 - scan 56 Fz=-1.26 Fx=-0.18 Fy=+4
2014-04-04.56	3C84	test	12.46	2.1	0.488	0.0155 102	25.5	-5.1	-0.18 4.00 -1.26	70 64	3.3 42	-88.7	-6.3 6.2	-23.9 -67.0	7.63 0.013	11.1 0.017	21.8 0.0	25.2 -11.8
# Fri Apr  4 12:34:38 UTC 2014 - Best values: Fz=-1.26 Fx=-0.18 Fy=0.58. Doing a pointing (scan 57) to check the beam with these values:
2014-04-04.57	3C84	test	12.54	2.1	0.386	0.0361 102	25.3	-4.5	-0.18 0.58 -1.26	70 64	3.3 42	-89.4	-0.6 5.8	-18.7 -66.7	7.71 0.029	10.8 0.055	19.7 0.1	-34.9 1.7
# Fri Apr  4 12:39:17 UTC 2014 - The beam does not seem symetrical. Using values from scan 47 and 49
2014-04-04.58	3C84	test	12.65	2.1	0.532	0.0246 102	25.2	-4.3	-1.00 0.00 -1.26	70 66	3.3 42	-90.5	3.2 6.5	-15.6 -64.9	9.30 0.022	11.1 0.030	19.6 0.0	-5.2 -27.6
# Fri Apr  4 12:45:30 UTC 2014 - Scan 59 Fz=-1.26 Fx=-1.5 Fy=0 (Fx was set to -1.5 by mistake, it should have been +1.5)
2014-04-04.59	3C84	test	12.72	2.1	0.489	0.0224 100	25.4	-4.0	-1.50 0.00 -1.26	70 66	3.3 42	-91.3	1.9 8.6	-17.4 -62.1	9.07 0.014	10.9 0.015	20.1 0.0	-5.0 -23.5
# Fri Apr  4 12:47:42 UTC 2014 - Scan 60 Fz=-1.26 Fx=+1.5 Fy=0 (Starting the observations with these values. We will analyze the data taken to look for the best focus corrections.)
2014-04-04.60	3C84	test	12.79	2.1	0.489	0.0172 102	25.4	-3.8	1.50 0.00 -1.26	70 67	3.3 42	-92.0	3.3 4.5	-16.4 -65.5	9.21 0.022	11.6 0.093	20.1 0.0	11.6 -6.2
2014-04-04.61	3C84	test	12.87	2.8	0.581	0.0322 100	20.1	-3.5	1.50 0.00 -1.26	70 68	3.3 42	-93.2	3.8 5.7	-16.4 -63.5	9.17 0.028	29.2 0.36	30.7 0.1	-1.5 -6.4
2014-04-04.62	0716+714	192-13	13.35	2.1	0.886	0.0396 85	25.9	-2.0	1.50 0.00 -1.26	24 38	7.4 71	-84.6	-3.7 5.1	-5.2 -98.4	0.763 0.016	0.671 0.020	15.5 0.3	-37.7 7.6
2014-04-04.67	0221+067	227-13	14.29	2.1	0.526	0.0619 89	26.2	-1.3	1.50 0.00 -1.26	-165 59	2.4 7	12.2	-15.1 9.7	9.2 -62.8	0.764 0.014	0.620 0.012	16.0 0.3	-6.1 -18.3
#2014-04-04.70	0420-014	test	18.15	2.1	0.947	0.0583 88	25.6	-2.3	-1.00 0.00 -1.26	-131 39	4.4 -1	37.3	129.6 28.9	156.9 -64.7	0.771 0.041	0.418 0.044	10.2 0.6	-31.5 -7.7
#2014-04-04.72	0420-014	test	18.42	2.1	0.646	0.0315 97	25.5	-2.4	-1.00 0.00 -1.26	-127 37	4.4 -1	39.8	128.1 64.1	157.5 -32.1	2.17 0.060	0.283 0.014	9.4 0.3	-45.1 -44.8
#2014-04-04.73	0420-014	test	18.45	2.1	0.654	0.0297 98	25.5	-2.4	-1.00 0.00 -1.26	-126 36	4.4 -1	40.1	-28.6 60.7	6.7 -40.9	0.325 0.032	-2.82E-3 6.6E-3	8.4 0.8	-18.9 -8.6
# Fri Apr  4 18:36:39 UTC 2014 - note these are 1/f noise tests!!!!
2014-04-04.81	Jupiter	test	19.37	2.1	0.744	0.2874 79	25.5	-2.0	0.00 0.60 -1.26	-128 70	6.8 23	43.5	-19.6 18.7	6.0 -57.5	377 2.1	1270 2.2	33.2 0.2	-14.2 -24.6
2014-04-04.83	0528+134	test	19.57	2.1	0.627	0.0978 58	25.2	-1.8	0.00 0.60 -1.26	-112 47	5.5 14	49.4	-21.0 12.9	6.4 -85.8	0.258 0.022	0.343 0.099	11.3 0.9	11.2 30.4
# Fri Apr  4 19:39:41 UTC 2014 - set pointing -21.2 12.7 - RE
2014-04-04.84	0528+134	test	19.67	2.1	0.785	0.0449 75	25.3	-1.6	0.00 0.60 -1.26	-111 46	5.5 14	50.1	3.0 3.8	12.8 -81.9	0.435 0.014	0.395 0.024	14.0 0.4	-0.3 -19.0
2014-04-04.85	0851+202	test	19.80	2.1	0.372	0.0406 98	26.0	-1.3	0.00 0.60 -1.26	158 72	8.9 20	-18.1	13.2 -0.4	2.1 -41.6	1.70 0.016	1.64 0.013	15.5 0.1	-6.5 -8.6
# Fri Apr  4 19:53:37 UTC 2014 - Set pointing -7.9 12.3 - RE
