# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-14.107	Mars	15.01	1.9	0.473	0.0313 92	36.6	7.3	-110 29	0.6 3	17.8	16.9 -51.7	-16.0 -130.4	25.0 0.039	46.4 0.13	23.8 0.0
2011-04-14.108	Mars	15.22	1.9	0.486	0.0320 92	36.7	7.2	-108 27	0.6 3	18.3	16.0 -2.8	-17.9 -83.8	26.5 0.044	46.1 0.047	22.6 0.0
2011-04-14.109	Mars	15.40	1.9	0.411	0.0293 91	36.7	7.2	-106 25	0.6 3	18.7	46.6 -3.2	12.0 -86.1	25.6 0.036	40.8 0.056	21.9 0.0
2011-04-14.110	Mars	15.47	1.9	0.453	0.0298 91	36.8	7.2	-105 24	0.6 3	18.8	15.5 -1.7	-19.4 -85.2	24.8 0.031	44.1 0.042	22.8 0.0
2011-04-14.111	Mars	15.72	1.9	0.472	0.0349 82	36.8	7.3	-103 21	0.6 3	19.2	-4.7 -32.2	-40.6 -118.2	23.7 0.054	39.4 0.081	22.0 0.0
2011-04-14.114	J0238+166	16.02	1.9	0.501	0.0267 93	36.8	7.8	-110 50	2.6 17	-0.1	11.2 2.0	-11.7 -56.4	0.552 6.2E-3	0.623 0.010	18.2 0.2
2011-04-14.115	J0238+166	16.09	1.9	0.489	0.0262 92	36.8	8.2	-109 49	2.6 17	0.1	34.0 -0.4	10.8 -60.0	0.553 7.0E-3	0.685 0.012	18.7 0.2
2011-04-14.116	J0433+054	16.63	1.9	0.417	0.0260 86	36.8	8.7	-145 53	4.6 5	-12.5	12.0 4.5	-12.1 -44.2	0.733 6.8E-3	0.908 0.011	18.9 0.2
2011-04-14.119	J0433+054	17.10	1.8	0.424	0.0237 96	36.8	8.9	-135 50	4.6 5	-9.0	11.7 4.9	-13.2 -49.4	0.789 5.6E-3	0.977 9.1E-3	19.1 0.1
2011-04-14.120	J0433+054	17.14	1.7	0.452	0.0256 96	35.0	9.0	-135 49	4.6 5	-52.3	6.9 16.1	-18.1 -38.6	0.773 6.2E-3	1.02 0.013	19.6 0.1
2011-04-14.121	J0433+054	17.17	1.7	0.360	0.0287 96	35.3	9.0	-134 49	4.6 5	-52.3	7.4 15.8	-17.7 -39.5	0.760 5.6E-3	0.904 0.012	18.4 0.1
2011-04-14.122	J0433+054	17.25	1.9	0.464	0.0236 96	36.8	8.9	-132 48	4.6 5	-8.1	11.6 4.4	-13.7 -51.8	0.792 5.6E-3	0.942 0.011	18.6 0.1
2011-04-14.123	IRC+10216	17.38	9.9	0.445	0.0177 96	152.7	8.6	107 42	9.8 13	-51.3	7.2 13.5	-34.0 -54.6	0.462 6.1E-3	0.751 0.013	21.6 0.3
2011-04-14.125	IRC+10216	17.63	9.7	0.421	0.0173 96	114.5	8.7	110 45	9.8 13	-49.9	7.8 14.9	-32.5 -49.6	0.450 5.0E-3	0.764 0.011	22.0 0.2
2011-04-14.126	IRC+10216	17.80	9.8	0.487	0.0172 96	114.4	8.6	112 46	9.8 13	-48.8	7.3 15.7	-32.4 -46.2	0.475 5.0E-3	0.812 0.011	22.0 0.2
2011-04-14.127	IRC+10216	17.98	9.7	0.430	0.0169 96	114.7	8.4	115 48	9.8 13	-47.5	8.0 15.5	-31.0 -43.8	0.453 5.1E-3	0.763 0.010	21.8 0.2
2011-04-14.128	IRC+10216	18.15	9.7	0.448	0.0172 93	114.8	8.1	117 50	9.8 13	-46.0	7.4 15.4	-30.8 -41.3	0.463 5.0E-3	0.774 0.011	21.7 0.2
2011-04-14.129	IRC+10216	18.32	9.7	0.449	0.0169 97	114.8	7.2	120 52	9.8 13	-44.4	8.3 16.1	-29.1 -38.0	0.457 4.7E-3	0.743 0.010	21.6 0.2
2011-04-14.130	IRC+10216	18.50	9.7	0.436	0.0169 97	114.6	6.6	123 54	9.8 13	-42.3	7.7 16.0	-28.8 -35.2	0.459 4.7E-3	0.765 9.8E-3	21.6 0.2
2011-04-14.131	IRC+10216	18.67	9.7	0.460	0.0166 97	114.6	6.0	126 56	9.8 13	-40.1	8.1 15.4	-27.4 -33.3	0.471 4.6E-3	0.774 9.8E-3	21.5 0.2
2011-04-14.132	IRC+10216	18.84	9.7	0.473	0.0167 97	114.7	5.8	130 57	9.8 13	-37.7	8.9 14.5	-25.7 -31.6	0.466 4.7E-3	0.774 9.8E-3	21.6 0.2
2011-04-14.133	IRC+10216	19.02	9.8	0.474	0.0165 97	114.4	5.6	134 59	9.8 13	-34.9	9.8 14.8	-23.8 -28.8	0.473 4.7E-3	0.777 0.012	21.5 0.2
2011-04-14.134	IRC+10216	19.19	9.7	0.510	0.0165 97	114.6	5.3	138 60	9.8 13	-31.9	10.3 14.2	-22.2 -26.9	0.470 5.1E-3	0.777 0.010	21.8 0.2
2011-04-14.135	IRC+10216	19.36	9.7	0.413	0.0165 97	114.6	5.2	142 61	9.8 13	-28.5	10.8 13.9	-20.5 -24.9	0.450 4.7E-3	0.724 9.6E-3	21.4 0.2
2011-04-14.136	J0719+331	19.60	1.9	0.464	0.0222 97	36.9	5.4	-95 71	7.3 33	11.3	8.8 0.3	-1.3 -33.8	0.175 3.9E-3	0.183 6.8E-3	16.9 0.4
2011-04-14.138	J0948+004	20.40	1.9	0.432	0.0198 78	38.1	5.6	177 53	9.8 0	-2.4	16.6 9.6	-13.2 -37.5	0.346 4.8E-3	0.341 6.5E-3	16.9 0.2
2011-04-14.139	J0909+014	20.45	1.8	0.410	0.0196 78	38.0	5.6	-165 53	9.2 1	11.9	17.7 4.0	-9.3 -43.1	1.15 5.6E-3	1.22 0.010	17.9 0.1
2011-04-14.143	J0948+004	21.08	1.9	0.402	0.0184 73	38.0	5.2	-167 53	9.8 0	10.9	17.9 5.5	-9.7 -42.7	0.349 4.6E-3	0.336 6.5E-3	16.7 0.2
2011-04-14.144	J0909+014	21.13	1.9	0.417	0.0305 78	38.0	5.2	-150 50	9.2 1	23.9	17.1 0.6	-9.3 -51.3	1.18 8.5E-3	1.23 0.012	17.5 0.1
2011-04-14.148	J0948+004	21.85	1.9	0.396	0.0179 97	38.1	4.8	-149 49	9.8 0	24.4	16.1 0.6	-10.7 -52.9	0.369 4.4E-3	0.371 7.5E-3	17.1 0.2
2011-04-14.149	J0909+014	21.89	1.9	0.426	0.0184 96	37.9	4.9	-135 45	9.2 1	34.6	16.7 -2.0	-10.8 -62.1	1.20 4.8E-3	1.37 9.0E-3	18.3 0.1
2011-04-14.151	J0948+004	22.12	1.9	0.403	0.0195 97	37.9	5.3	-144 47	9.8 0	28.4	17.4 0.2	-9.7 -56.0	0.361 4.0E-3	0.376 5.5E-3	17.6 0.2
2011-04-14.152	J0909+014	22.16	1.9	0.433	0.0184 97	37.9	5.3	-130 42	9.2 1	37.6	16.7 -2.3	-11.5 -65.6	1.18 4.9E-3	1.26 7.0E-3	17.7 0.1
2011-04-14.155	J0948+004	22.55	1.8	0.365	0.0174 97	38.0	5.1	-136 44	9.8 0	34.1	16.7 -2.0	-11.2 -62.9	0.364 4.7E-3	0.386 6.4E-3	17.7 0.2
