# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.114	Mars	13.67	1.7	0.348	0.0352 56	34.2	5.4	-128 43	0.6 3	39.3	3.9 1.4	-9.3 -67.5	26.3 0.048	43.1 0.073	22.4 0.0
2011-04-15.115	Mars	13.82	1.9	0.409	0.0259 95	37.9	5.4	-125 42	0.6 3	40.8	2.8 0.4	-11.5 -71.1	29.9 0.035	45.2 0.045	21.5 0.0
2011-04-15.116	J0112+227	13.93	1.8	0.365	0.0167 90	37.9	5.3	-109 60	1.2 23	54.8	-0.5 -4.5	-2.0 -63.6	0.247 4.0E-3	0.280 6.3E-3	18.4 0.3
2011-04-15.120	J0112+227	14.56	1.9	0.269	0.0173 88	38.2	5.5	-101 52	1.2 23	58.3	-3.1 -0.4	-10.5 -71.2	0.244 4.6E-3	0.250 4.4E-3	17.3 0.3
2011-04-15.121	J0112+227	14.65	1.9	0.280	0.0177 87	38.0	5.4	-100 51	1.2 23	58.6	0.4 -1.7	-7.8 -74.0	0.251 4.4E-3	0.271 5.1E-3	17.8 0.3
2011-04-15.122	J0112+227	14.84	1.9	0.242	0.0203 87	37.9	5.4	-98 49	1.2 23	59.1	-2.9 -5.7	-13.0 -81.3	0.251 5.4E-3	0.283 7.4E-3	18.6 0.4
2011-04-15.126	J0112+227	15.49	1.9	0.288	0.0173 95	38.0	6.0	-91 41	1.2 23	59.9	-0.8 -6.4	-17.1 -92.3	0.231 4.0E-3	0.242 5.3E-3	17.1 0.3
2011-04-15.130	J0112+227	16.07	1.9	0.334	0.0173 97	38.0	7.0	-86 34	1.2 23	59.7	3.9 -6.7	-17.7 -100.7	0.267 5.0E-3	0.283 6.3E-3	17.6 0.3
2011-04-15.134	J0112+227	16.70	1.9	0.341	0.0163 93	38.0	8.0	-81 27	1.2 23	58.7	1.9 -6.9	-25.2 -108.4	0.230 4.8E-3	0.238 5.4E-3	17.6 0.4
2011-04-15.135	J0405-131	16.79	1.9	0.421	0.0169 93	37.7	7.3	-144 32	4.1 -13	28.8	4.1 -4.9	-21.3 -78.5	0.260 6.4E-3	0.288 5.5E-3	18.1 0.4
2011-04-15.136	J0920+447	16.96	1.9	0.390	0.0156 95	38.1	7.7	63 55	9.3 45	-86.3	-16.3 -14.0	-58.6 -81.5	0.743 4.5E-3	0.822 6.2E-3	18.2 0.1
2011-04-15.140	J0920+447	17.46	1.9	0.378	0.0157 97	37.9	7.3	63 60	9.3 45	-91.4	-17.4 -10.9	-56.9 -73.3	0.797 4.0E-3	0.862 5.9E-3	18.1 0.1
2011-04-15.144	J0920+447	18.04	1.9	0.503	0.0150 97	37.0	6.6	62 67	9.3 45	-98.6	-19.2 -8.3	-54.8 -64.1	0.804 4.1E-3	0.855 5.5E-3	17.8 0.1
2011-04-15.148	J0920+447	18.65	1.9	0.487	0.0146 97	37.5	5.0	57 73	9.3 45	-109.4	-19.1 -5.9	-49.1 -54.7	0.791 4.3E-3	0.821 5.6E-3	17.5 0.1
2011-04-15.152	J0920+447	19.36	1.9	0.455	0.0145 97	37.1	3.4	41 80	9.3 45	-132.9	-18.1 -4.9	-38.0 -47.2	0.786 3.7E-3	0.771 5.2E-3	17.1 0.1
2011-04-15.153	J0948+004	19.57	1.9	0.518	0.0140 96	37.7	3.2	158 51	9.8 0	-17.2	-14.2 -0.8	-52.0 -56.3	0.334 4.2E-3	0.311 3.6E-3	16.7 0.2
2011-04-15.154	J0948+004	19.61	1.9	0.457	0.0141 96	37.1	3.2	159 51	9.8 0	-16.5	-14.1 0.2	-51.9 -55.1	0.330 3.9E-3	0.311 3.4E-3	17.1 0.2
# Fri Apr 15 19:43:45 UTC 2011 - UT 14:36 pointing model changed
# Fri Apr 15 19:43:58 UTC 2011 - Reverted pointing model
2011-04-15.155	J0948+004	19.75	1.9	0.383	0.0148 92	37.1	3.1	162 52	9.8 0	-13.9	-3.4 1.0	-40.8 -53.2	0.322 4.0E-3	0.314 4.5E-3	17.2 0.2
2011-04-15.156	1418+546	19.99	1.9	0.374	0.0142 95	38.0	2.8	45 38	14.3 54	-76.8	2.3 7.7	-35.3 -96.8	0.222 3.8E-3	0.223 4.4E-3	17.0 0.3
2011-04-15.157	J1033+609	20.11	1.9	0.424	0.0147 95	36.9	2.7	19 64	10.6 61	-148.6	-0.8 -6.0	-19.8 -74.1	0.823 4.8E-3	0.842 5.5E-3	17.5 0.1
2011-04-15.161	1418+546	20.68	1.9	0.355	0.0149 97	37.9	2.0	47 44	14.3 54	-84.4	2.1 7.4	-32.2 -90.2	0.247 3.5E-3	0.253 5.4E-3	17.3 0.2
2011-04-15.162	J1033+609	20.74	1.9	0.360	0.0144 92	37.7	2.0	8 66	10.6 61	-166.1	0.3 2.0	-13.1 -60.6	0.802 4.0E-3	0.872 5.7E-3	17.8 0.1
2011-04-15.166	1418+546	21.56	1.9	0.188	0.0147 96	37.9	1.7	47 51	14.3 54	-95.1	1.7 5.8	-27.4 -80.8	0.233 4.2E-3	0.228 4.2E-3	16.8 0.3
2011-04-15.167	J1033+609	21.63	1.9	0.232	0.0153 98	37.2	1.7	-8 66	10.6 61	167.4	2.0 1.3	-6.3 -54.4	0.792 4.6E-3	0.883 5.7E-3	18.0 0.1
2011-04-15.171	1418+546	22.22	1.9	0.172	0.0148 97	37.4	2.1	45 57	14.3 54	-104.5	-0.5 3.9	-25.2 -73.3	0.238 3.6E-3	0.232 4.1E-3	16.7 0.3
2011-04-15.172	J1033+609	22.29	1.9	0.210	0.0156 99	37.6	2.2	-18 64	10.6 61	149.1	2.8 1.0	-5.2 -51.5	0.844 4.7E-3	0.955 6.6E-3	18.1 0.1
