# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-18.19	1253-055	test	2.26	0.8	0.134	0.0264 65	38.2	-3.2	-1.40	-128 31	12.9 -6	39.5	-0.5 6.8	12.0 -74.9	2.95 0.038	5.77 0.23	19.8 0.2
2012-04-18.20	1253-055	test	2.31	0.8	0.142	0.0264 69	38.2	-3.1	-0.90	-127 31	12.9 -6	39.9	-0.0 7.5	12.3 -74.8	3.56 0.040	6.89 0.13	22.0 0.2
# Wed Apr 18 02:21:21 UTC 2012 - #19 at -0.9; chose -1.8 and took scan #20.  (DjB)
2012-04-18.21	1253-055	test	2.35	0.9	0.121	0.0262 67	37.2	-3.1	-1.80	-126 30	12.9 -6	40.4	-8.3 -3.7	3.9 -86.4	1.24 0.022	7.92 0.17	34.3 0.5
2012-04-18.22	1308+326	test	2.41	0.8	0.121	0.0141 98	38.4	-3.2	-1.80	-85 56	13.2 32	70.2	1.0 -2.2	13.9 -83.3	0.857 3.7E-3	0.886 5.8E-3	18.5 0.1
2012-04-18.28	R1558-14	233-11	3.15	4.8	0.098	0.0180 102	37.9	-3.1	-1.80	-167 38	16.0 -14	11.4	4.8 0.7	15.6 -65.7	0.0320 1.9E-3	0.0287 2.4E-3	17.8 1.1
2012-04-18.29	1757-240	test	3.27	1.0	0.098	0.0173 101	37.1	-3.0	-1.80	162 27	18.0 -24	-15.9	3.5 -0.8	8.0 -65.3	5.59 0.012	7.01 0.017	20.6 0.0
2012-04-18.42	1757-240	test	6.23	0.8	0.171	0.0179 99	38.2	-3.6	-1.80	-153 24	18.0 -24	23.1	2.5 -4.8	11.9 -78.5	6.37 0.012	7.64 0.014	20.3 0.0
2012-04-18.43	1757-240	test	6.26	1.0	0.171	0.0171 101	37.1	-3.5	-2.30	-153 24	18.0 -24	23.4	0.1 2.4	9.5 -71.6	6.50 0.011	7.96 0.013	20.9 0.0
2012-04-18.44	1757-240	test	6.28	0.8	0.157	0.0221 99	38.2	-3.5	-1.30	-153 24	18.0 -24	23.7	-2.9 -2.3	6.5 -76.5	5.64 0.012	7.39 0.022	21.3 0.0
2012-04-18.45	1757-240	test	6.33	1.0	0.157	0.0182 99	35.9	-3.2	-2.00	-152 23	18.0 -24	24.2	-1.4 -0.1	7.9 -75.2	6.16 0.014	7.64 0.014	20.6 0.0
# Wed Apr 18 06:27:21 UTC 2012 - New focus position -1.9 (delta=0.1mm) (ACE)
2012-04-18.47	2134+004	test	6.69	0.8	0.126	0.0211 78	38.2	-3.0	-1.90	148 49	21.6 1	-25.2	3.8 0.9	4.8 -51.9	0.668 6.2E-3	0.627 8.2E-3	17.4 0.2
2012-04-18.51	A2415	233-11	7.26	4.7	0.115	0.0186 99	38.2	-3.3	-1.90	153 44	22.1 -6	-20.8	-0.6 3.0	2.2 -52.8	0.0234 1.6E-3	0.0232 2.3E-3	18.1 1.2
2012-04-18.53	2223-052	test	7.79	0.8	0.087	0.0141 100	38.3	-2.9	-1.90	157 45	22.4 -5	-18.5	-2.6 0.8	1.0 -55.1	0.817 4.5E-3	0.838 5.5E-3	18.3 0.1
# Wed Apr 18 08:09:20 UTC 2012 - Problems with large drifts in sky signal in scan 55 due to cloud (ACE)
# Wed Apr 18 08:18:26 UTC 2012 - Clouds now too poor to produce much science. Scan 56 very poor. (ACE)
2012-04-18.57	2223-052	248-11	10.14	1.9	0.154	0.0203 96	37.2	-2.5	-1.90	-153 44	22.4 -5	21.6	-0.1 -2.8	13.5 -70.8	0.914 3.4E-3	0.959 5.3E-3	18.6 0.1
2012-04-18.58	K3-50A	248-11	10.23	1.8	0.110	0.0232 96	38.2	-2.4	-1.90	-77 44	20.0 34	68.7	3.7 1.5	14.2 -92.1	5.16 0.014	7.75 0.063	22.3 0.1
2012-04-18.59	2223-052	248-11	10.34	1.8	0.083	0.0171 97	38.2	-2.5	-1.90	-149 43	22.4 -5	24.6	0.4 -3.2	14.2 -73.3	0.908 2.8E-3	0.947 5.8E-3	18.7 0.1
2012-04-18.62	R2341+00	233-11	10.72	4.8	0.101	0.0166 95	37.8	-2.6	-1.90	-165 52	23.7 0	12.5	2.0 -2.4	14.5 -60.9	0.0340 1.5E-3	0.0370 2.3E-3	18.5 0.8
2012-04-18.64	2223-052	test	10.93	1.9	0.114	0.0137 97	38.0	-2.4	-1.90	-139 39	22.4 -5	32.2	-0.6 -4.0	13.3 -80.2	0.929 2.5E-3	0.964 4.6E-3	18.6 0.0
