# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2015-03-02.25	1055+018	232-14	3.86	2.0	0.502	0.0169 89	25.3	4.3	0.00 0.00 -1.40	-116 32	11.0 2	45.9	-2.1 -4.7	13.0 -94.4	2.21 0.010	2.41 8.5E-3	16.6 0.1	-2.3 -2.3
##2015-03-02.65	1308+326	221-14	7.39	2.0	0.476	0.7769 92	25.3	4.2	0.00 0.00 -1.40	-73 34	13.2 32	64.2	92.1 65.3	105.5 -37.7	44.8 0.61	34.1 1.6	21.0 0.3	-3.1 -12.0
2015-03-02.66	1354+195	223-14	7.46	2.0	0.498	0.0170 91	25.3	4.3	0.00 0.00 -1.40	-92 36	14.0 19	57.6	0.8 -2.8	13.8 -100.1	0.412 4.7E-3	0.418 6.1E-3	16.7 0.2	1.0 1.6
2015-03-02.67	1354+195	223-14	7.54	2.1	0.517	0.0151 87	25.3	4.3	0.00 0.00 -1.40	-92 35	14.0 19	57.7	-16.7 10.3	12.3 -101.1	0.406 4.1E-3	0.396 5.5E-3	17.3 0.2	-2.2 -2.8
2015-03-02.75	1633+382	223-14	8.23	2.0	0.508	0.0202 101	25.1	4.6	0.00 0.00 -1.40	-78 66	16.6 38	82.7	7.7 5.2	11.9 -83.5	0.860 6.8E-3	0.846 6.6E-3	16.5 0.1	-0.9 1.3
# Mon Mar  2 10:29:21 UTC 2015 - the He3 sorption fridge ran out here.
2015-03-02.110	Uranus	test	13.44	1.0	0.468	0.0184 98	25.4	6.7	0.00 0.00 -1.40	152 55	0.9 5	-21.6	-11.2 4.2	3.4 -63.4	10.8 0.032	12.8 0.030	19.5 0.1	-3.1 0.1
2015-03-02.111	Uranus	test	13.46	1.1	0.468	0.0171 99	25.5	6.7	0.00 0.00 -2.00	153 55	0.9 5	-21.2	-11.9 5.0	2.7 -62.5	10.1 0.031	12.6 0.028	19.7 0.1	-5.3 0.2
2015-03-02.112	Uranus	test	13.48	1.1	0.487	0.0157 99	25.4	6.7	0.00 0.00 -0.80	153 55	0.9 5	-20.8	-13.0 5.4	1.8 -62.1	9.33 0.023	13.0 0.024	21.2 0.0	-3.3 -0.5
2015-03-02.113	Uranus	test	13.50	1.1	0.487	0.0155 100	25.3	6.8	0.00 0.00 -2.60	154 55	0.9 5	-20.4	-10.9 4.1	3.9 -63.3	8.57 0.023	12.6 0.025	21.8 0.1	-2.8 -0.3
2015-03-02.114	Uranus	test	13.53	1.1	0.487	0.0163 101	25.5	6.8	0.00 0.00 -0.20	155 56	0.9 5	-20.0	-13.6 4.8	1.3 -62.7	6.79 0.023	12.5 0.024	24.4 0.1	-4.6 -1.3
2015-03-02.115	Uranus	224-14	13.57	2.0	0.464	0.0152 101	25.8	6.9	0.00 0.00 -1.60	156 56	0.9 5	-19.0	0.6 1.1	4.5 -62.1	11.0 0.024	13.0 0.025	19.5 0.0	-1.9 0.3
2015-03-02.126	0106+013	224-14	14.54	2.0	0.442	0.0178 101	25.9	6.4	0.00 0.00 -1.60	176 55	1.1 2	-3.2	0.9 1.4	10.5 -65.3	0.581 5.3E-3	0.570 5.2E-3	16.5 0.2	0.4 0.2
