# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-15.93	J0359+510	10.13	1.9	0.192	0.0254 101	37.5	4.2	51 41	4.0 51	-39.4	-1.8 2.1	-39.9 -67.4	2.12 5.8E-3	2.47 9.7E-3	18.1 0.0
2011-04-15.94	J0319+415	10.18	1.9	0.186	0.0312 70	37.4	4.2	66 46	3.3 42	-38.1	-0.8 0.5	-38.4 -58.2	1.91 0.016	4.10 0.037	21.7 0.2
2011-04-15.95	J0418+380	10.23	1.9	0.198	0.0239 100	37.4	4.1	65 35	4.3 38	-33.7	-0.3 0.8	-38.6 -69.6	1.98 6.4E-3	2.25 0.010	17.7 0.1
2011-04-15.96	J0359+510	10.28	1.9	0.181	0.0244 101	37.3	4.1	51 42	4.0 51	-40.1	-1.0 1.9	-39.0 -66.1	2.08 6.5E-3	2.38 0.010	17.9 0.1
2011-04-15.97	J0217+738	10.34	1.9	0.158	0.0219 97	37.6	4.1	16 49	2.3 74	-64.9	-1.8 1.2	-35.5 -71.0	0.915 5.3E-3	0.953 8.3E-3	17.4 0.1
2011-04-15.98	J0102+584	10.38	1.9	0.225	0.0211 101	37.8	4.1	25 65	1.0 58	-69.8	-1.8 2.3	-33.3 -46.6	1.71 5.1E-3	1.94 9.0E-3	18.0 0.1
2011-04-15.99	J0102+584	10.47	1.9	0.216	0.0231 100	37.1	4.0	24 65	1.0 58	-70.9	-2.0 2.4	-33.2 -46.4	1.72 4.6E-3	1.93 9.1E-3	18.0 0.0
2011-04-15.102	Uranus	10.72	1.9	0.211	0.0847 85	37.6	4.1	178 53	0.1 0	-0.9	6.3 -7.8	-5.9 -44.8	10.5 0.21	46.5 1.1	36.7 0.6
2011-04-15.103	Uranus	10.76	1.7	0.167	0.0330 87	36.1	4.1	179 53	0.1 0	-0.0	-0.4 -4.2	-12.4 -41.4	9.24 0.019	12.7 0.050	20.1 0.0
2011-04-15.104	Uranus	10.81	1.7	0.239	0.0295 84	35.5	4.0	180 53	0.1 0	-0.0	0.1 -3.7	-11.5 -41.0	9.22 0.020	11.5 0.024	19.0 0.0
2011-04-15.105	Uranus	10.84	1.7	0.200	0.0290 85	36.0	4.0	-179 53	0.1 0	-0.0	0.2 -3.8	-11.2 -41.3	9.10 0.018	11.4 0.022	19.2 0.0
2011-04-15.106	Uranus	10.89	1.9	0.162	0.0267 85	37.3	4.0	-178 53	0.1 0	0.8	1.2 -5.4	-10.0 -43.2	8.60 0.013	11.3 0.019	19.6 0.0
2011-04-15.107	Uranus	10.93	1.9	0.181	0.0271 82	37.2	4.0	-177 53	0.1 0	1.2	-1.0 -4.4	-11.9 -42.4	8.68 0.014	11.3 0.019	19.6 0.0
2011-04-15.108	Mars	13.30	1.9	0.273	0.0379 69	37.0	5.4	-134 47	0.6 3	17.5	0.6 -3.9	-7.7 -62.0	29.5 0.038	43.9 0.052	21.3 0.0
2011-04-15.109	Mars	13.38	1.9	0.240	0.0393 64	37.3	5.4	-133 46	0.6 3	18.0	-0.8 -3.8	-9.5 -63.1	24.6 0.041	43.1 0.054	22.7 0.0
2011-04-15.110	Mars	13.42	1.9	0.240	0.0366 60	37.0	5.4	-132 46	0.6 3	18.2	0.4 -0.5	-8.5 -60.4	29.7 0.038	43.3 0.048	20.7 0.0
2011-04-15.111	Mars	13.52	1.9	0.340	0.0412 61	37.2	5.3	-130 45	0.6 3	18.8	0.0 -5.8	-9.3 -67.3	27.0 0.056	44.1 0.059	21.7 0.0
