# Time[CET]   Date          Tau         TauERR
  03:38:41    2014-10-21    0.3175      0.0091
  03:42:56    2014-10-21    0.3187      0.0087
  03:47:11    2014-10-21    0.3098      0.0162
  03:51:26    2014-10-21    0.3128      0.0124
  03:55:41    2014-10-21    0.3235      0.0122
  03:59:55    2014-10-21    0.2866      0.0176
  04:04:10    2014-10-21    0.2906      0.0111
  04:08:25    2014-10-21    0.2801      0.0064
  04:12:40    2014-10-21    0.2724      0.0094
  04:16:55    2014-10-21    0.2631      0.0122
  04:21:09    2014-10-21    0.2686      0.0058
  04:25:24    2014-10-21    0.2593      0.0110
  04:29:39    2014-10-21    0.2647      0.0252
  04:33:54    2014-10-21    0.2825      0.0082
  04:38:09    2014-10-21    0.2715      0.0162
  04:42:23    2014-10-21    0.2713      0.0107
  04:46:38    2014-10-21    0.2829      0.0076
  04:50:53    2014-10-21    0.2768      0.0109
  04:55:08    2014-10-21    0.2913      0.0146
  04:59:23    2014-10-21    0.2661      0.0104
  05:03:37    2014-10-21    0.2471      0.0157
  05:07:52    2014-10-21    0.2438      0.0108
  05:12:07    2014-10-21    0.2777      0.0138
  05:16:22    2014-10-21    0.2743      0.0159
  05:20:37    2014-10-21    0.2720      0.0168
  05:24:51    2014-10-21    0.2986      0.0177
  05:29:06    2014-10-21    0.2976      0.0114
  05:33:21    2014-10-21    0.2615      0.0156
  05:37:36    2014-10-21    0.2821      0.0134
  05:46:05    2014-10-21    0.2939      0.0164
  05:50:20    2014-10-21    0.3005      0.0176
  05:54:35    2014-10-21    0.2829      0.0101
  05:58:50    2014-10-21    0.1013      0.0449
  06:03:05    2014-10-21    0.2886      0.0117
  06:07:19    2014-10-21    0.2692      0.0309
  06:11:34    2014-10-21    0.3349      0.0324
  06:15:49    2014-10-21    0.2873      0.0095
  06:20:04    2014-10-21    0.3040      0.0104
  06:24:19    2014-10-21    0.2960      0.0113
  06:28:33    2014-10-21    0.3043      0.0129
  06:32:48    2014-10-21    0.3195      0.0144
  06:37:03    2014-10-21    0.2889      0.0147
  06:41:18    2014-10-21    0.3155      0.0152
  06:45:33    2014-10-21    0.3121      0.0133
  06:49:47    2014-10-21    0.3089      0.0132
  06:54:02    2014-10-21    0.2889      0.0116
  06:58:17    2014-10-21    0.3044      0.0086
  07:02:32    2014-10-21    0.3052      0.0125
  07:06:47    2014-10-21    0.3137      0.0090
  07:11:02    2014-10-21    0.3233      0.0150
  07:15:16    2014-10-21    0.2959      0.0091
  07:19:31    2014-10-21    0.3025      0.0104
  07:23:46    2014-10-21    0.2900      0.0094
  07:28:01    2014-10-21    0.3051      0.0081
  07:32:16    2014-10-21    0.3119      0.0083
  07:36:31    2014-10-21    0.3245      0.0095
  07:40:45    2014-10-21    0.2967      0.0057
  07:45:00    2014-10-21    0.3012      0.0095
  07:49:15    2014-10-21    0.3022      0.0092
  07:53:30    2014-10-21    0.2942      0.0125
