# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2013-04-11.33	1923+210	209-12	3.35	1.8	0.684	0.0165 96	38.2	2.1	-1.48	99 48	19.4 21	-57.6	4.6 -2.6	-9.8 -65.8	0.267 3.5E-3	0.267 5.8E-3	18.0 0.2
2013-04-11.34	1923+210	test	3.41	1.8	0.690	0.0113 96	38.1	2.1	-1.48	100 48	19.4 21	-57.4	-0.4 -3.2	-10.1 -65.9	0.265 2.8E-3	0.276 4.3E-3	18.2 0.2
2013-04-11.37	1253-055	test	3.68	2.0	0.623	0.0075 51	37.2	2.2	-1.48	-116 22	12.9 -6	46.3	-5.6 -6.6	11.7 -91.5	0.0234 1.3E-3	0.0207 1.6E-3	16.2 0.9
2013-04-11.39	Saturn	test	3.80	2.0	0.647	0.0565 59	37.7	1.8	-1.48	-139 31	14.5 -12	32.5	-6.4 -8.0	11.6 -85.4	187 0.20	338 0.19	24.7 0.0
2013-04-11.40	Saturn	test	3.85	2.1	0.697	0.0572 59	37.3	1.7	-1.48	-138 30	14.5 -12	33.1	-6.8 -7.2	11.3 -84.9	179 0.26	341 0.27	24.8 0.0
2013-04-11.41	Saturn	test	3.90	2.0	0.625	0.0560 52	37.7	1.7	-1.48	-138 30	14.5 -12	33.6	-34.9 4.4	13.2 -103.5	57.8 0.93	181 1.3	26.8 0.4
2013-04-11.42	Saturn	test	3.96	2.0	0.637	0.0542 56	37.1	1.8	-1.48	-137 29	14.5 -12	34.2	-17.7 2.9	12.4 -90.3	171 0.37	308 0.33	24.5 0.0
2013-04-11.43	1510-089	test	4.03	2.1	0.679	0.0136 81	37.3	2.0	-1.48	-144 37	15.2 -9	28.2	-41.9 31.9	12.0 -82.9	1.02 4.2E-3	1.07 0.011	18.5 0.1
2013-04-11.44	1510-089	test	4.08	2.0	0.679	0.0132 80	37.1	1.9	-1.48	-144 36	15.2 -9	28.9	-12.3 -1.8	10.8 -80.9	1.03 2.9E-3	1.07 6.4E-3	18.8 0.1
2013-04-11.45	1510-089	test	4.13	2.0	0.615	0.0130 78	37.7	1.9	-1.48	-143 36	15.2 -9	29.5	-10.3 5.1	10.8 -81.4	0.992 2.8E-3	1.01 6.8E-3	18.4 0.1
2013-04-11.47	1413+135	test	4.35	2.0	0.595	0.0120 91	37.6	1.8	-1.48	-107 42	14.3 13	51.8	-11.5 5.3	12.9 -92.9	0.233 2.7E-3	0.233 4.5E-3	18.1 0.2
2013-04-11.48	1413+135	test	4.40	2.0	0.595	0.0130 91	37.5	1.9	-1.48	-106 41	14.3 13	52.0	0.2 0.5	13.6 -93.1	0.228 3.0E-3	0.258 5.9E-3	19.0 0.2
2013-04-11.52	2200+420	test	5.16	2.0	0.615	0.0143 95	37.2	1.8	-1.48	65 46	22.0 42	-77.1	0.8 1.7	-15.4 -78.0	6.08 4.1E-3	6.98 7.0E-3	19.3 0.0
2013-04-11.53	2200+420	test	5.20	1.8	0.610	0.0148 95	38.2	1.8	-1.48	65 47	22.0 42	-77.5	0.8 2.1	-15.7 -77.3	6.26 5.6E-3	7.13 7.8E-3	18.9 0.0
2013-04-11.54	NGC7027	test	5.28	2.0	0.604	0.0145 98	37.7	1.8	-1.48	68 58	21.1 42	-85.4	2.3 2.7	-20.4 -68.3	2.76 4.4E-3	3.17 6.6E-3	19.4 0.0
2013-04-11.55	NGC7027	test	5.33	1.8	0.618	0.0150 99	38.1	1.8	-1.48	68 59	21.1 42	-85.8	3.1 2.0	-20.0 -68.6	2.70 4.7E-3	3.09 6.6E-3	19.4 0.0
2013-04-11.56	2200+420	test	5.40	2.1	0.611	0.0160 96	37.6	1.9	-1.48	65 49	22.0 42	-79.0	1.4 1.3	-16.3 -73.9	6.15 6.2E-3	7.15 9.9E-3	19.1 0.0
2013-04-11.57	2200+420	test	5.45	2.1	0.611	0.0145 97	37.3	2.1	-1.48	66 50	22.0 42	-79.4	2.2 -3.2	-16.8 -74.1	6.02 4.6E-3	6.87 8.1E-3	18.6 0.0
2013-04-11.58	2200+420	test	5.52	1.0	0.655	0.0141 92	36.5	2.1	-2.00	66 50	22.0 42	-79.8	2.7 -3.5	-16.7 -74.0	6.04 6.4E-3	7.03 0.011	18.2 0.0
2013-04-11.59	2200+420	test	5.54	1.0	0.695	0.0134 94	36.2	2.0	-2.60	66 51	22.0 42	-80.0	2.9 -4.0	-16.7 -74.3	5.93 7.1E-3	7.20 0.011	19.4 0.0
2013-04-11.60	2200+420	test	5.56	1.0	0.695	0.0132 96	36.1	2.0	-3.20	66 51	22.0 42	-80.1	2.2 -4.4	-17.4 -74.6	4.42 7.1E-3	6.88 0.011	22.3 0.0
2013-04-11.61	2200+420	test	5.58	1.1	0.695	0.0141 95	36.0	1.9	-1.40	66 51	22.0 42	-80.3	1.6 -3.6	-18.2 -73.6	6.22 6.0E-3	7.18 9.6E-3	18.7 0.0
2013-04-11.62	2200+420	test	5.60	0.8	0.630	0.0138 96	38.3	1.9	-0.80	66 51	22.0 42	-80.5	2.7 -1.8	-17.3 -71.6	4.99 5.9E-3	6.79 0.012	21.1 0.0
2013-04-11.63	2200+420	test	5.65	0.8	0.630	0.0148 96	38.2	1.8	-1.80	66 52	22.0 42	-80.8	2.6 -2.3	-17.7 -71.7	6.32 6.7E-3	6.97 0.010	18.4 0.0
2013-04-11.64	2200+420	test	5.67	0.8	0.625	0.0141 94	38.2	1.8	-2.40	66 52	22.0 42	-81.0	3.9 -2.4	-16.5 -71.7	6.26 7.2E-3	7.33 0.010	18.7 0.0
2013-04-11.65	2200+420	test	5.69	1.0	0.625	0.0134 96	37.0	1.8	-3.00	66 52	22.0 42	-81.2	2.7 -2.7	-17.8 -71.9	5.12 6.1E-3	7.01 0.013	21.1 0.0
2013-04-11.66	2200+420	test	5.71	1.0	0.625	0.0137 96	36.5	1.9	-1.20	66 53	22.0 42	-81.3	4.8 -2.1	-15.8 -71.1	5.85 6.9E-3	7.11 9.9E-3	19.7 0.0
2013-04-11.67	2200+420	test	5.74	0.8	0.639	0.0133 96	38.2	2.1	-0.60	66 53	22.0 42	-81.5	3.9 -2.0	-16.9 -70.9	4.30 5.2E-3	6.72 0.014	22.3 0.0
2013-04-11.68	2200+420	test	5.78	1.0	0.639	0.0136 91	36.6	2.1	-1.90	66 53	22.0 42	-81.9	2.8 -3.0	-18.2 -71.6	6.57 7.0E-3	7.20 0.011	18.3 0.0
2013-04-11.69	2200+420	test	5.80	0.8	0.639	0.0140 95	38.2	2.1	-2.50	67 53	22.0 42	-82.0	2.7 -4.2	-18.5 -72.6	5.93 7.3E-3	7.02 0.011	18.9 0.0
2013-04-11.70	2200+420	test	5.82	1.0	0.639	0.0128 96	36.7	2.0	-3.10	67 54	22.0 42	-82.2	1.9 -4.3	-19.5 -72.5	4.71 6.6E-3	6.87 0.010	21.7 0.0
2013-04-11.71	2200+420	test	5.84	1.0	0.634	0.0135 97	35.9	2.0	-1.30	67 54	22.0 42	-82.4	2.8 -2.1	-18.7 -70.1	6.00 5.2E-3	7.01 9.2E-3	19.2 0.0
2013-04-11.72	2200+420	test	5.86	0.8	0.634	0.0144 97	38.3	1.9	-0.70	67 54	22.0 42	-82.6	3.2 -1.2	-18.4 -69.1	4.84 5.3E-3	6.79 0.012	21.5 0.0
2013-04-11.73	2200+420	test	5.91	1.0	0.648	0.0138 94	36.6	1.9	-1.80	67 55	22.0 42	-82.9	2.4 -2.7	-19.5 -70.1	6.48 7.8E-3	7.22 9.7E-3	18.3 0.0
2013-04-11.74	2200+420	test	5.93	1.1	0.648	0.0153 96	36.5	2.1	-2.40	67 55	22.0 42	-83.1	3.0 -2.3	-19.0 -69.6	6.28 7.1E-3	6.92 9.7E-3	18.6 0.0
2013-04-11.75	2200+420	test	5.95	0.8	0.648	0.0148 97	38.1	2.1	-3.00	67 55	22.0 42	-83.3	2.1 -3.4	-20.0 -70.5	5.19 7.7E-3	7.12 0.015	21.0 0.0
2013-04-11.76	2200+420	test	5.97	1.0	0.677	0.0143 97	36.7	2.1	-1.20	67 55	22.0 42	-83.5	3.0 -3.0	-19.3 -70.0	6.07 6.9E-3	7.08 1.0E-2	19.3 0.0
2013-04-11.77	2200+420	test	6.00	0.8	0.677	0.0146 97	38.0	2.1	-0.60	67 56	22.0 42	-83.6	4.2 -2.9	-18.2 -69.8	4.54 7.0E-3	6.87 0.016	22.0 0.0
2013-04-11.78	2230+114	test	6.07	1.8	0.677	0.0171 84	38.1	2.1	-1.88	105 38	22.5 12	-51.8	0.8 -4.9	-6.6 -68.0	1.58 4.0E-3	1.81 8.8E-3	19.4 0.0
2013-04-11.79	2230+114	test	6.12	2.1	0.631	0.0164 88	37.2	2.1	-1.88	106 39	22.5 12	-51.5	0.6 -0.6	-6.0 -68.4	1.63 3.5E-3	1.76 6.2E-3	18.9 0.0
2013-04-11.81	2230+114	209-12	6.40	1.9	0.650	0.0140 90	38.0	2.0	-1.88	109 42	22.5 12	-50.2	2.1 -5.2	-5.3 -68.5	1.78 3.3E-3	1.86 6.7E-3	18.5 0.0
2013-04-11.86	W3OH	test	10.21	2.0	0.696	0.0239 97	37.8	2.7	-2.00	34 52	2.5 62	-108.4	-12.9 11.3	-15.7 -85.8	3.76 9.2E-3	5.55 0.020	22.1 0.0
2013-04-11.87	W3OH	test	10.28	2.0	0.957	0.0232 97	37.5	2.8	-2.00	34 52	2.5 62	-109.5	5.7 -3.7	-13.7 -87.3	4.51 0.011	6.49 0.019	21.7 0.0
2013-04-11.88	W3OH	test	10.36	1.0	0.542	0.0170 97	36.8	2.6	-2.00	34 53	2.5 62	-110.6	1.1 0.6	-16.5 -84.5	3.72 8.1E-3	5.21 0.016	21.2 0.0
2013-04-11.89	W3OH	test	10.38	0.8	0.643	0.0207 97	38.2	2.6	-2.60	33 53	2.5 62	-111.0	3.0 1.3	-14.7 -83.7	3.42 9.6E-3	5.14 0.018	22.1 0.1
2013-04-11.90	W3OH	test	10.40	1.1	0.643	0.0238 97	36.3	2.5	-3.20	33 53	2.5 62	-111.3	2.2 -2.5	-15.5 -87.4	2.50 0.011	4.77 0.020	24.9 0.1
