# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 212.76539999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,23]	1.095 	2.972E-4 	-	0.760	1.000	1.000	119	0	3	23
R0[3,24]	-0.001 	3.963E-3 	gn	8.278	1.000	1.000	120	0	3	24
R0[3,25]	1.065 	2.708E-4 	-	0.753	1.000	1.000	121	0	3	25
R0[3,26]	1.043 	3.034E-4 	-	0.767	1.000	1.000	122	0	3	26
R0[4,0]	0.606 	6.678E-4 	-	1.056	1.000	1.000	128	0	4	0
R0[4,1]	0.611 	5.971E-4 	-	1.092	1.000	1.000	129	0	4	1
R0[4,2]	0.601 	6.765E-4 	-	1.049	1.000	1.000	130	0	4	2
R0[4,3]	0.621 	5.917E-4 	-	1.045	1.000	1.000	131	0	4	3
R0[4,4]	0.693 	5.648E-4 	-	0.965	1.000	1.000	132	0	4	4
R0[4,5]	0.743 	5.543E-4 	-	0.942	1.000	1.000	133	0	4	5
R0[4,7]	1.079 	3.466E-4 	-	0.779	1.000	1.000	135	0	4	7
R0[4,8]	0.001 	5.379E-3 	gn	-26.490	1.000	1.000	136	0	4	8
R0[4,9]	0.878 	3.478E-4 	-	0.894	1.000	1.000	137	0	4	9
R0[4,10]	0.864 	4.679E-4 	-	0.889	1.000	1.000	138	0	4	10
R0[4,11]	-0.001 	4.997E-3 	gn	20.628	1.000	1.000	139	0	4	11
R0[4,12]	0.911 	2.448E-4 	-	0.834	1.000	1.000	140	0	4	12
R0[4,13]	0.930 	3.659E-4 	-	0.841	1.000	1.000	141	0	4	13
R0[4,14]	0.940 	4.224E-4 	-	0.832	1.000	1.000	142	0	4	14
R0[4,15]	1.238 	3.173E-4 	-	0.680	1.000	1.000	143	0	4	15
R0[4,16]	1.057 	3.057E-4 	-	0.767	1.000	1.000	144	0	4	16
R0[4,17]	1.000 	3.793E-4 	-	0.762	1.000	1.000	145	0	4	17
R0[4,18]	1.037 	4.125E-4 	-	0.736	1.000	1.000	146	0	4	18
R0[4,19]	-0.000 	2.593E-3 	gn	48.464	1.000	1.000	147	0	4	19
R0[4,21]	0.285 	2.605E-3 	g	0.754	1.000	1.000	149	0	4	21
R0[4,22]	0.936 	4.307E-4 	-	0.727	1.000	1.000	150	0	4	22
R0[4,23]	0.957 	3.114E-4 	-	0.707	1.000	1.000	151	0	4	23
R0[4,24]	-0.001 	3.945E-3 	gn	8.721	1.000	1.000	152	0	4	24
R0[4,25]	0.946 	3.747E-4 	-	0.707	1.000	1.000	153	0	4	25
R0[4,26]	0.905 	4.490E-4 	-	0.727	1.000	1.000	154	0	4	26
R0[5,0]	0.730 	5.237E-4 	-	0.946	1.000	1.000	160	0	5	0
R0[5,1]	0.782 	5.076E-4 	-	0.932	1.000	1.000	161	0	5	1
R0[5,2]	0.675 	5.440E-4 	-	1.046	1.000	1.000	162	0	5	2
R0[5,3]	0.697 	5.296E-4 	-	0.982	1.000	1.000	163	0	5	3
R0[5,4]	0.817 	4.624E-4 	-	0.926	1.000	1.000	164	0	5	4
R0[5,5]	0.876 	3.467E-4 	-	0.939	1.000	1.000	165	0	5	5
R0[5,7]	0.822 	4.598E-4 	-	0.961	1.000	1.000	167	0	5	7
R0[5,8]	0.046 	4.302E-3 	gn	0.481	1.000	1.000	168	0	5	8
R0[5,9]	0.877 	4.287E-4 	-	0.909	1.000	1.000	169	0	5	9
R0[5,10]	0.919 	4.314E-4 	-	0.876	1.000	1.000	170	0	5	10
R0[5,11]	0.954 	2.630E-4 	-	0.832	1.000	1.000	171	0	5	11
R0[5,12]	-0.001 	5.005E-3 	gn	22.048	1.000	1.000	172	0	5	12
R0[5,13]	0.956 	3.937E-4 	-	0.799	1.000	1.000	173	0	5	13
R0[5,14]	1.054 	3.325E-4 	-	0.766	1.000	1.000	174	0	5	14
R0[5,15]	1.126 	2.993E-4 	-	0.761	1.000	1.000	175	0	5	15
R0[5,16]	1.373 	2.472E-4 	-	0.664	1.000	1.000	176	0	5	16
R0[5,17]	1.129 	3.455E-4 	-	0.723	1.000	1.000	177	0	5	17
R0[5,18]	1.059 	3.473E-4 	-	0.712	1.000	1.000	178	0	5	18
R0[5,19]	1.076 	2.763E-4 	-	0.730	1.000	1.000	179	0	5	19
R0[5,21]	0.941 	4.647E-4 	-	0.736	1.000	1.000	181	0	5	21
R0[5,22]	0.966 	3.883E-4 	-	0.705	1.000	1.000	182	0	5	22
R0[5,23]	0.984 	4.550E-4 	-	0.690	1.000	1.000	183	0	5	23
R0[5,24]	-0.001 	3.988E-3 	gn	9.175	1.000	1.000	184	0	5	24
R0[5,25]	0.958 	3.947E-4 	-	0.687	1.000	1.000	185	0	5	25
R0[5,26]	0.645 	8.496E-4 	-	0.677	1.000	1.000	186	0	5	26
R0[6,0]	0.663 	5.601E-4 	-	1.041	1.000	1.000	192	0	6	0
R0[6,1]	0.666 	5.057E-4 	-	1.026	1.000	1.000	193	0	6	1
