# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.63184 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[8,9]	0.987 	1.072E-3 	-	0.648	1.000	1.000	265	0	8	9
R0[8,10]	1.092 	1.178E-3 	-	0.612	1.000	1.000	266	0	8	10
R0[8,11]	1.072 	8.809E-4 	-	0.625	1.000	1.000	267	0	8	11
R0[8,12]	1.009 	9.610E-4 	-	0.631	1.000	1.000	268	0	8	12
R0[8,13]	1.011 	1.042E-3 	-	0.623	1.000	1.000	269	0	8	13
R0[8,14]	0.991 	1.066E-3 	-	0.631	1.000	1.000	270	0	8	14
R0[8,15]	1.006 	9.158E-4 	-	0.617	1.000	1.000	271	0	8	15
R0[8,16]	1.010 	8.077E-4 	-	0.610	1.000	1.000	272	0	8	16
R0[8,17]	0.998 	9.047E-4 	-	0.624	1.000	1.000	273	0	8	17
R0[8,18]	0.805 	1.151E-3 	-	0.580	1.000	1.000	274	0	8	18
R0[8,19]	0.005 	1.047E-2 	gn	-2.091	1.000	1.000	275	0	8	19
R0[8,21]	0.005 	5.870E-3 	gn	-2.162	1.000	1.000	277	0	8	21
R0[8,22]	1.216 	5.979E-4 	-	0.526	1.000	1.000	278	0	8	22
R0[8,23]	0.985 	1.012E-3 	-	0.586	1.000	1.000	279	0	8	23
R0[8,24]	0.004 	5.375E-3 	gn	-1.062	1.000	1.000	280	0	8	24
R0[8,25]	0.894 	1.090E-3 	-	0.571	1.000	1.000	281	0	8	25
R0[8,26]	0.004 	5.371E-3 	gn	-1.212	1.000	1.000	282	0	8	26
R0[9,0]	0.759 	1.241E-6 	n	0.082	1.000	1.000	288	0	9	0
R0[9,1]	0.232 	4.966E-3 	g	1.020	1.000	1.000	289	0	9	1
R0[9,2]	0.788 	8.325E-4 	-	0.810	1.000	1.000	290	0	9	2
R0[9,3]	0.826 	1.162E-3 	-	0.744	1.000	1.000	291	0	9	3
R0[9,4]	0.924 	1.050E-3 	-	0.686	1.000	1.000	292	0	9	4
R0[9,5]	0.740 	6.429E-4 	-	0.523	1.000	1.000	293	0	9	5
R0[9,7]	0.938 	9.767E-4 	-	0.687	1.000	1.000	295	0	9	7
R0[9,8]	0.965 	7.176E-4 	-	0.661	1.000	1.000	296	0	9	8
R0[9,9]	0.977 	1.011E-3 	-	0.667	1.000	1.000	297	0	9	9
R0[9,10]	1.022 	1.007E-3 	-	0.664	1.000	1.000	298	0	9	10
R0[9,11]	1.040 	8.924E-4 	-	0.631	1.000	1.000	299	0	9	11
R0[9,12]	0.996 	1.187E-3 	-	0.641	1.000	1.000	300	0	9	12
R0[9,13]	1.005 	9.469E-4 	-	0.648	1.000	1.000	301	0	9	13
R0[9,14]	1.017 	1.021E-3 	-	0.624	1.000	1.000	302	0	9	14
R0[9,15]	1.033 	7.945E-4 	-	0.636	1.000	1.000	303	0	9	15
R0[9,16]	1.080 	8.770E-4 	-	0.614	1.000	1.000	304	0	9	16
R0[9,17]	0.005 	1.066E-2 	gn	-1.909	1.000	1.000	305	0	9	17
R0[9,18]	0.936 	1.014E-3 	-	0.623	1.000	1.000	306	0	9	18
R0[9,19]	1.024 	8.681E-4 	-	0.619	1.000	1.000	307	0	9	19
R0[9,21]	0.006 	4.597E-3 	gn	-1.761	1.000	1.000	309	0	9	21
R0[9,22]	0.006 	6.520E-3 	gn	-1.045	1.000	1.000	310	0	9	22
R0[9,23]	0.976 	1.068E-3 	-	0.614	1.000	1.000	311	0	9	23
