# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 211.23036 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[4,26]	0.929 	4.856E-4 	-	1.727	1.000	1.000	154	0	4	26
R0[5,0]	0.753 	5.451E-4 	-	2.175	1.000	1.000	160	0	5	0
R0[5,1]	0.804 	5.505E-4 	-	2.150	1.000	1.000	161	0	5	1
R0[5,2]	0.695 	5.796E-4 	-	2.408	1.000	1.000	162	0	5	2
R0[5,3]	0.718 	5.791E-4 	-	2.245	1.000	1.000	163	0	5	3
R0[5,4]	0.840 	4.972E-4 	-	2.107	1.000	1.000	164	0	5	4
R0[5,5]	0.906 	4.001E-4 	-	2.143	1.000	1.000	165	0	5	5
R0[5,7]	0.846 	4.965E-4 	-	2.178	1.000	1.000	167	0	5	7
R0[5,8]	0.048 	6.278E-3 	g	1.414	1.000	1.000	168	0	5	8
R0[5,9]	0.903 	4.686E-4 	-	2.066	1.000	1.000	169	0	5	9
R0[5,10]	0.948 	4.705E-4 	-	2.022	1.000	1.000	170	0	5	10
R0[5,11]	0.983 	2.798E-4 	-	1.930	1.000	1.000	171	0	5	11
R0[5,12]	0.000 	8.807E-3 	gn	-104.143	1.000	1.000	172	0	5	12
R0[5,13]	0.983 	4.270E-4 	-	1.876	1.000	1.000	173	0	5	13
R0[5,14]	1.084 	3.636E-4 	-	1.802	1.000	1.000	174	0	5	14
R0[5,15]	1.159 	3.180E-4 	-	1.772	1.000	1.000	175	0	5	15
R0[5,16]	1.415 	2.562E-4 	-	1.568	1.000	1.000	176	0	5	16
R0[5,17]	1.162 	3.701E-4 	-	1.710	1.000	1.000	177	0	5	17
R0[5,18]	1.090 	3.770E-4 	-	1.685	1.000	1.000	178	0	5	18
R0[5,19]	1.103 	2.935E-4 	-	1.767	1.000	1.000	179	0	5	19
R0[5,21]	0.966 	4.993E-4 	-	1.755	1.000	1.000	181	0	5	21
R0[5,22]	0.992 	4.230E-4 	-	1.704	1.000	1.000	182	0	5	22
R0[5,23]	1.010 	4.812E-4 	-	1.678	1.000	1.000	183	0	5	23
R0[5,24]	0.000 	5.944E-3 	gn	-140.835	1.000	1.000	184	0	5	24
R0[5,25]	0.986 	4.331E-4 	-	1.648	1.000	1.000	185	0	5	25
R0[5,26]	0.664 	9.464E-4 	-	1.610	1.000	1.000	186	0	5	26
R0[6,0]	0.683 	5.907E-4 	-	2.383	1.000	1.000	192	0	6	0
R0[6,1]	0.686 	5.357E-4 	-	2.332	1.000	1.000	193	0	6	1
R0[6,2]	0.659 	6.559E-4 	-	2.381	1.000	1.000	194	0	6	2
R0[6,3]	1.129 	2.029E-4 	-	2.230	1.000	1.000	195	0	6	3
R0[6,4]	0.957 	2.881E-5 	-	1.838	1.000	1.000	196	0	6	4
R0[6,5]	1.184 	3.677E-4 	-	1.751	1.000	1.000	197	0	6	5
R0[6,7]	0.867 	4.900E-4 	-	2.123	1.000	1.000	199	0	6	7
R0[6,8]	0.906 	4.510E-4 	-	2.048	1.000	1.000	200	0	6	8
R0[6,9]	0.966 	4.582E-4 	-	2.014	1.000	1.000	201	0	6	9
R0[6,10]	1.043 	2.050E-4 	-	1.918	1.000	1.000	202	0	6	10
R0[6,11]	0.002 	1.100E-2 	gn	-5.440	1.000	1.000	203	0	6	11
R0[6,12]	0.951 	2.271E-4 	-	1.919	1.000	1.000	204	0	6	12
R0[6,13]	0.997 	3.905E-4 	-	1.828	1.000	1.000	205	0	6	13
R0[6,14]	1.025 	3.758E-4 	-	1.792	1.000	1.000	206	0	6	14
R0[6,15]	1.093 	2.967E-4 	-	1.763	1.000	1.000	207	0	6	15
R0[6,16]	1.210 	2.078E-5 	-	1.569	1.000	1.000	208	0	6	16
R0[6,17]	0.002 	1.116E-2 	gn	-11.506	1.000	1.000	209	0	6	17
R0[6,18]	0.002 	9.303E-4 	gn	-12.929	1.000	1.000	210	0	6	18
