# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_80-047
# Object: omc1_c
# Date: 2016-12-03T07:43:50.590 (MJD: 57725.32291405092)
# Project: 88_0005_80
# Exposure: 83.89583999999999 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 130d08m04.31s 37d14m20.20s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,12]	1.012 	4.975E-4 	-	2.229	1.000	1.000	108	0	3	12
R0[3,13]	1.012 	4.853E-4 	-	2.147	1.000	1.000	109	0	3	13
R0[3,14]	0.979 	4.785E-4 	-	2.105	1.000	1.000	110	0	3	14
R0[3,15]	1.036 	4.899E-4 	-	2.027	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	5.020E-3 	gn	-52.775	1.000	1.000	112	0	3	16
R0[3,17]	0.002 	6.061E-3 	gn	-12.167	1.000	1.000	113	0	3	17
R0[3,18]	1.090 	3.366E-4 	-	2.053	1.000	1.000	114	0	3	18
R0[3,19]	1.114 	4.049E-4 	-	1.853	1.000	1.000	115	0	3	19
R0[3,21]	1.045 	4.763E-4 	-	1.987	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	4.701E-3 	gn	-5.414	1.000	1.000	118	0	3	22
R0[3,23]	1.084 	4.834E-4 	-	1.864	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	3.745E-3 	gn	-19.474	1.000	1.000	120	0	3	24
R0[3,25]	1.070 	4.117E-4 	-	1.880	1.000	1.000	121	0	3	25
R0[3,26]	1.032 	5.456E-4 	-	1.952	1.000	1.000	122	0	3	26
R0[4,0]	0.594 	1.044E-3 	-	2.959	1.000	1.000	128	0	4	0
R0[4,1]	0.611 	9.928E-4 	-	2.954	1.000	1.000	129	0	4	1
R0[4,2]	0.614 	7.614E-4 	-	2.840	1.000	1.000	130	0	4	2
R0[4,3]	0.634 	8.067E-4 	-	2.778	1.000	1.000	131	0	4	3
R0[4,4]	0.713 	7.778E-4 	-	2.643	1.000	1.000	132	0	4	4
R0[4,5]	0.778 	7.331E-4 	-	2.561	1.000	1.000	133	0	4	5
R0[4,7]	1.114 	4.415E-4 	-	1.963	1.000	1.000	135	0	4	7
R0[4,8]	0.002 	5.870E-3 	gn	-1.327	1.000	1.000	136	0	4	8
R0[4,9]	0.926 	5.267E-4 	-	2.176	1.000	1.000	137	0	4	9
R0[4,10]	0.875 	7.602E-4 	-	2.172	1.000	1.000	138	0	4	10
R0[4,11]	0.000 	5.921E-3 	gn	0.160	1.000	1.000	139	0	4	11
R0[4,12]	0.937 	4.468E-4 	-	2.069	1.000	1.000	140	0	4	12
R0[4,13]	0.945 	5.248E-4 	-	2.081	1.000	1.000	141	0	4	13
R0[4,14]	0.946 	6.477E-4 	-	2.019	1.000	1.000	142	0	4	14
R0[4,15]	1.260 	4.190E-4 	-	1.703	1.000	1.000	143	0	4	15
